#j jp SCavg SCstd SCvar QMavg QMstd QMvar diffavg diffstd diffvar
1 22 85.457298 51.721092 2675.071345 85.242818 nan nan 0 0 0
2 23 81.979437 51.822371 2685.558175 82.005783 nan nan 0 0 0
3 24 78.835873 51.527933 2655.127911 79.046682 nan nan 0 0 0
4 25 75.650804 51.050085 2606.111185 76.082614 nan nan 0 0 0
5 26 72.941763 50.717154 2572.229725 73.501143 nan nan 0 0 0
6 27 70.343782 50.237258 2523.782046 71.047853 nan nan 0 0 0
7 28 67.755079 49.650973 2465.219092 68.630665 nan nan 0 0 0
8 29 65.488857 49.190964 2419.750945 66.469103 nan nan 0 0 0
9 30 63.338099 48.743263 2375.905700 64.408912 nan nan 0 0 0
10 31 61.511239 48.372896 2339.937057 62.637281 nan nan 0 0 0
11 32 58.714934 47.239679 2231.587303 60.176088 nan nan 0 0 0
12 33 54.846283 44.575400 1986.966260 56.939339 nan nan 0 0 0
13 34 50.080551 41.250103 1701.571018 52.871456 nan nan 0 0 0
14 35 46.573630 38.731418 1500.122762 49.754493 nan nan 0 0 0
15 36 42.632085 35.685681 1273.467815 46.210335 nan nan 0 0 0
16 37 40.318705 33.069296 1093.578317 44.018384 nan nan 0 0 0
17 38 37.213756 30.331468 919.997942 41.031548 nan nan 0 0 0
18 39 33.733504 28.041512 786.326385 37.843067 nan nan 0 0 0
19 40 32.317071 25.600744 655.398095 36.245440 nan nan 0 0 0
20 41 30.214015 23.710509 562.188258 34.061609 nan nan 0 0 0
21 42 29.214880 22.501767 506.329503 32.955458 nan nan 0 0 0
22 43 27.274163 20.934294 438.244653 30.918904 nan nan 0 0 0
23 44 26.787885 20.054394 402.178709 30.309118 nan nan 0 0 0
24 45 25.403925 18.440103 340.037396 28.681864 nan nan 0 0 0
25 46 24.664213 17.813589 317.323961 27.862108 nan nan 0 0 0
26 47 24.264599 17.670868 312.259563 27.478861 nan nan 0 0 0
27 48 24.326887 17.852812 318.722883 27.544054 nan nan 0 0 0
28 49 23.956535 16.222076 263.155748 26.796146 nan nan 0 0 0
29 50 23.115040 15.666158 245.428491 25.889203 nan nan 0 0 0
