#j jp SCavg SCstd SCvar QMavg QMstd QMvar diffavg diffstd diffvar
1 34 86.233226 51.745539 2677.600839 86.268881 44.915929 2017.440642 -0.035655 6.82961 660.16
2 35 83.811427 51.996711 2703.657918 83.940069 47.272079 2234.649456 -0.128642 4.72463 469.008
3 36 81.387368 51.849397 2688.359957 81.562357 48.272554 2330.239516 -0.174989 3.57684 358.12
4 37 78.926586 51.485718 2650.779119 79.134418 48.624372 2364.329594 -0.207832 2.86135 286.45
5 38 74.296094 50.246553 2524.716068 74.603643 47.903805 2294.774520 -0.307549 2.34275 229.942
6 39 68.383550 47.677108 2273.106622 68.800498 45.750716 2093.128032 -0.416948 1.92639 179.979
7 40 60.684435 44.491671 1979.508832 61.220027 42.865097 1837.416557 -0.535592 1.62657 142.092
8 41 56.742393 41.881336 1754.046279 57.288975 40.481504 1638.752144 -0.546582 1.39983 115.294
9 42 51.310483 38.265926 1464.281108 51.889344 37.045663 1372.381138 -0.578861 1.22026 91.9
10 43 47.071659 35.322135 1247.653225 47.651884 34.222318 1171.167052 -0.580225 1.09982 76.4862
11 44 41.770694 31.421556 987.314152 42.375271 30.409186 924.718585 -0.604577 1.01237 62.5956
12 45 36.996151 29.163606 850.515904 37.667810 28.195793 795.002726 -0.671659 0.967813 55.5132
13 46 34.962749 26.516024 703.099518 35.600701 25.611555 655.951736 -0.637952 0.904469 47.1478
14 47 32.515696 23.179488 537.288642 33.111539 22.295904 497.107349 -0.595843 0.883584 40.1813
15 48 32.077336 22.100333 488.424739 32.626773 21.268695 452.357368 -0.549437 0.831638 36.0674
16 49 28.275920 18.950182 359.109390 28.834572 18.080937 326.920296 -0.558652 0.869245 32.1891
17 50 27.216721 18.235305 332.526364 27.754365 17.396902 302.652212 -0.537644 0.838403 29.8742
