#j jp SCavg SCstd SCvar QMavg QMstd QMvar diffavg diffstd diffvar
1 35 85.355920 51.681286 2670.955333 85.447469 44.852103 2011.711174 -0.091549 6.82918 659.244
2 36 78.346557 50.951678 2596.073533 78.763921 46.260149 2140.001417 -0.417364 4.69153 456.072
3 37 75.173885 50.715176 2572.029107 75.618742 47.170797 2225.084086 -0.444857 3.54438 346.945
4 38 73.475357 50.821309 2582.805446 73.879681 47.966527 2300.787688 -0.404324 2.85478 282.018
5 39 70.096434 50.279324 2528.010402 70.534375 47.905988 2294.983702 -0.437941 2.37334 233.027
6 40 61.918547 47.530203 2259.120194 62.520825 45.545855 2074.424937 -0.602278 1.98435 184.695
7 41 60.216578 46.497596 2162.026470 60.783702 44.788943 2006.049393 -0.567124 1.70865 155.977
8 42 55.380509 44.906801 2016.620746 55.977268 43.388154 1882.531940 -0.596759 1.51865 134.089
9 43 55.053956 43.476036 1890.165719 55.590517 42.157228 1777.231904 -0.536561 1.31881 112.934
10 44 48.120889 37.667921 1418.872289 48.716713 36.553943 1336.190750 -0.595824 1.11398 82.6815
11 45 42.310578 34.293833 1176.066981 42.978488 33.274201 1107.172469 -0.66791 1.01963 68.8945
12 46 39.398916 30.041151 902.470778 40.022030 29.110626 847.428519 -0.623114 0.930525 55.0423
13 47 35.813859 27.578338 760.564730 36.453606 26.682267 711.943381 -0.639747 0.896071 48.6213
14 48 37.608497 26.894530 723.315766 38.147248 26.083395 680.343520 -0.538751 0.811135 42.9722
15 49 31.663415 22.149335 490.593044 32.233273 21.294966 453.475561 -0.569858 0.854369 37.1175
16 50 30.410117 21.571767 465.341121 30.965520 20.745141 430.360889 -0.555403 0.826626 34.9802
