#j jp SCavg SCstd SCvar QMavg QMstd QMvar diffavg diffstd diffvar
1 19 88.555004 46.056004 2121.155541 87.904367 nan nan 0 0 0
2 20 86.918318 47.521596 2258.302091 86.014964 nan nan 0 0 0
3 21 85.282603 46.893415 2198.992354 84.286478 nan nan 0 0 0
4 22 83.503239 48.054861 2309.269703 82.315645 nan nan 0 0 0
5 23 82.419726 47.716276 2276.843019 81.023423 nan nan 0 0 0
6 24 81.408331 48.544441 2356.562793 79.767000 nan nan 0 0 0
7 25 79.939982 48.153612 2318.770369 78.215681 nan nan 0 0 0
8 26 79.424161 48.449156 2347.320728 77.490733 nan nan 0 0 0
9 27 79.054031 48.566280 2358.683527 76.837964 nan nan 0 0 0
10 28 76.344186 48.421883 2344.678726 74.325474 nan nan 0 0 0
11 29 76.914889 48.397750 2342.342249 74.574271 nan nan 0 0 0
12 30 73.871869 48.102433 2313.844085 71.810939 nan nan 0 0 0
13 31 74.926794 48.521138 2354.300858 72.428694 nan nan 0 0 0
14 32 71.254268 48.749499 2376.513667 69.061419 nan nan 0 0 0
15 33 71.692775 48.429580 2345.424223 69.362318 nan nan 0 0 0
16 34 68.234260 48.457227 2348.102824 66.165161 nan nan 0 0 0
17 35 65.920142 47.408634 2247.578586 64.141144 nan nan 0 0 0
18 36 68.195773 48.913815 2392.561273 65.789821 nan nan 0 0 0
19 37 70.233109 48.671032 2368.869309 67.499872 nan nan 0 0 0
20 38 61.332056 47.547541 2260.768627 59.907455 nan nan 0 0 0
21 39 66.120793 48.590373 2361.024371 63.763591 nan nan 0 0 0
22 40 65.318269 48.374908 2340.131711 62.727893 nan nan 0 0 0
