#j jp SCavg SCstd SCvar QMavg QMstd QMvar diffavg diffstd diffvar
1 40 85.987506 51.722675 2675.235097 86.092784 nan nan 0 0 0
2 41 81.155052 51.168231 2618.187832 81.990923 nan nan 0 0 0
3 42 72.260278 48.496015 2351.863432 74.597528 nan nan 0 0 0
4 43 63.284399 46.070260 2122.468843 66.934975 nan nan 0 0 0
5 44 54.843794 42.863490 1837.278766 59.558860 nan nan 0 0 0
6 45 54.616779 41.604005 1730.893207 59.353954 nan nan 0 0 0
7 46 50.359439 38.807989 1506.060042 55.473835 nan nan 0 0 0
8 47 40.809736 32.547850 1059.362512 46.468407 nan nan 0 0 0
9 48 37.104380 27.891570 777.939689 42.617673 nan nan 0 0 0
10 49 29.499079 22.039839 485.754507 34.603794 nan nan 0 0 0
11 50 27.978251 20.536837 421.761660 32.872784 nan nan 0 0 0
