#j jp SCavg SCstd SCvar QMavg QMstd QMvar diffavg diffstd diffvar
1 10 85.393571 51.830280 2686.377906 84.153046 nan nan 0 0 0
2 11 81.767412 51.973106 2701.203722 80.268412 nan nan 0 0 0
3 12 78.169112 51.619374 2664.559742 76.565194 nan nan 0 0 0
4 13 74.781166 51.177619 2619.148645 73.143981 nan nan 0 0 0
5 14 71.356759 50.548595 2555.160500 69.799790 nan nan 0 0 0
6 15 68.114365 49.873937 2487.409635 66.667170 nan nan 0 0 0
7 16 64.976253 49.097386 2410.553359 63.681473 nan nan 0 0 0
8 17 61.970276 48.250050 2328.067335 60.848976 nan nan 0 0 0
9 18 59.286225 47.490907 2255.386288 58.296950 nan nan 0 0 0
10 19 56.753155 46.683555 2179.354297 55.904984 nan nan 0 0 0
11 20 54.530451 46.012390 2117.140027 53.774783 nan nan 0 0 0
12 21 52.306329 45.179331 2041.171989 51.689174 nan nan 0 0 0
13 22 50.119136 44.229617 1956.259054 49.663774 nan nan 0 0 0
14 23 48.158968 43.400512 1883.604430 47.822870 6.148748 37.807106 0 0 0
15 24 46.316149 42.600627 1814.813401 46.088048 10.362114 107.373410 0 0 0
16 25 44.600721 41.767336 1744.510392 44.476682 12.749894 162.559785 0 0 0
17 26 42.744111 40.628156 1650.647041 42.789693 14.093761 198.634094 0 0 0
18 27 40.402511 38.684800 1496.513774 40.783702 14.311550 204.820451 0 0 0
19 28 37.597972 35.979329 1294.512096 38.421098 13.524700 182.917501 0 0 0
20 29 35.219898 33.543375 1125.158035 36.364467 12.669047 160.504750 0 0 0
21 30 32.788049 31.162649 971.110665 34.208361 11.541170 133.198614 0 0 0
22 31 30.943343 29.098680 846.733177 32.535280 10.579298 111.921550 0 0 0
23 32 29.178359 27.202986 740.002467 30.879263 9.502714 90.301575 0 0 0
24 33 27.511499 25.448259 647.613865 29.344925 8.494893 72.163207 0 0 0
25 34 26.289292 23.601197 557.016518 28.147173 7.133696 50.889625 0 0 0
26 35 24.811931 22.107600 488.745986 26.710704 5.909384 34.920817 0 0 0
27 36 23.928924 20.877003 435.849263 25.800433 4.799143 23.031770 0 0 0
28 37 22.705964 19.674861 387.100138 24.555284 3.213366 10.325721 0 0 0
29 38 22.214407 18.850419 355.338291 24.005345 2.584596 6.680137 0 0 0
30 39 21.303760 18.023135 324.833403 23.076826 1.110585 1.233399 0 0 0
31 40 20.898894 17.328703 300.283934 22.601311 nan nan 0 0 0
32 41 20.175403 16.461418 270.978268 21.822373 nan nan 0 0 0
33 42 20.068758 16.087550 258.809263 21.667724 nan nan 0 0 0
34 43 19.273807 15.175918 230.308474 20.800729 nan nan 0 0 0
35 44 18.429070 14.681658 215.551082 19.937337 nan nan 0 0 0
36 45 18.381997 14.271809 203.684532 19.836400 nan nan 0 0 0
37 46 18.587597 14.143002 200.024512 19.987244 nan nan 0 0 0
38 47 17.286416 13.475203 181.581089 18.770734 nan nan 0 0 0
39 48 16.686352 13.371245 178.790193 18.170828 nan nan 0 0 0
40 49 18.307894 13.218972 174.741226 19.534925 nan nan 0 0 0
41 50 18.225907 12.944432 167.558333 19.395828 nan nan 0 0 0
