#j jp SCavg SCstd SCvar QMavg QMstd QMvar diffavg diffstd diffvar
1 27 88.096186 51.835627 2686.932239 87.647158 nan nan 0 0 0
2 28 85.654532 51.942721 2698.046293 85.251776 nan nan 0 0 0
3 29 82.345367 51.461996 2648.337069 82.210612 nan nan 0 0 0
4 30 80.142091 51.478570 2650.043155 80.035397 nan nan 0 0 0
5 31 77.801363 51.142880 2615.594127 77.827055 nan nan 0 0 0
6 32 72.439500 49.070014 2407.866306 73.359860 nan nan 0 0 0
7 33 67.318124 47.186531 2226.568747 68.956789 nan nan 0 0 0
8 34 62.906415 46.247308 2138.813457 65.026603 nan nan 0 0 0
9 35 60.464435 45.408944 2061.972167 62.704459 nan nan 0 0 0
10 36 56.207298 44.196640 1953.342970 58.931007 nan nan 0 0 0
11 37 54.005260 42.625321 1816.917955 56.883392 nan nan 0 0 0
12 38 48.301263 40.407502 1632.766257 51.817388 nan nan 0 0 0
13 39 47.797867 40.164237 1613.165914 51.248050 nan nan 0 0 0
14 40 43.116062 35.868582 1286.555210 47.068348 nan nan 0 0 0
15 41 38.974770 32.086368 1029.535041 43.400728 nan nan 0 0 0
16 42 34.827234 27.307200 745.683154 39.158203 nan nan 0 0 0
17 43 32.135750 25.744124 662.759917 36.651112 nan nan 0 0 0
18 44 33.636961 24.874977 618.764501 37.822055 nan nan 0 0 0
19 45 31.102048 23.221779 539.251023 35.271376 nan nan 0 0 0
20 46 31.008949 21.948749 481.747593 34.932414 nan nan 0 0 0
21 47 28.240599 20.308422 412.431991 32.058633 nan nan 0 0 0
22 48 28.947195 21.331904 455.050118 32.930113 nan nan 0 0 0
23 49 26.837172 18.798048 353.366617 30.457726 nan nan 0 0 0
24 50 25.653818 18.250241 333.071305 29.247700 nan nan 0 0 0
