#j jp SCavg SCstd SCvar QMavg QMstd QMvar diffavg diffstd diffvar
1 15 82.199168 51.446792 2646.772391 82.068287 nan nan 0 0 0
2 16 77.732223 51.551366 2657.543386 77.913448 nan nan 0 0 0
3 17 73.954757 51.191172 2620.536088 74.312939 nan nan 0 0 0
4 18 71.438480 51.157988 2617.139782 71.727214 nan nan 0 0 0
5 19 69.357887 51.092412 2610.434530 69.545399 nan nan 0 0 0
6 20 67.269484 50.842107 2584.919813 67.417537 nan nan 0 0 0
7 21 65.910000 50.917026 2592.543570 65.869118 nan nan 0 0 0
8 22 64.349681 50.695067 2569.989805 64.236494 nan nan 0 0 0
9 23 62.108583 49.927847 2492.789943 62.142611 nan nan 0 0 0
10 24 60.211996 49.391365 2439.506892 60.292457 nan nan 0 0 0
11 25 58.533118 48.920585 2393.223615 58.634277 nan nan 0 0 0
12 26 55.056032 46.866812 2196.498054 55.720261 nan nan 0 0 0
13 27 51.511436 44.448632 1975.680884 52.722806 nan nan 0 0 0
14 28 48.646174 42.827067 1834.157697 50.132351 nan nan 0 0 0
15 29 46.252330 41.380192 1712.320278 47.947071 nan nan 0 0 0
16 30 43.220045 39.903554 1592.293644 45.192230 nan nan 0 0 0
17 31 41.539335 38.491967 1481.631488 43.632646 nan nan 0 0 0
18 32 38.411753 36.166908 1308.045214 40.756272 nan nan 0 0 0
19 33 36.706567 35.344450 1249.230129 39.154118 nan nan 0 0 0
20 34 33.493952 32.298551 1043.196426 36.191822 nan nan 0 0 0
21 35 30.583317 29.323181 859.848935 33.639125 nan nan 0 0 0
22 36 29.312167 26.372051 695.485098 32.253227 nan nan 0 0 0
23 37 27.313124 24.454109 598.003423 30.314095 nan nan 0 0 0
24 38 26.623327 22.837292 521.541896 29.517107 nan nan 0 0 0
25 39 24.974057 21.498766 462.196937 27.852492 nan nan 0 0 0
26 40 24.498838 20.337542 413.615596 27.272962 nan nan 0 0 0
27 41 23.342575 19.021252 361.808010 25.984152 nan nan 0 0 0
28 42 23.185120 18.742234 351.271345 25.811058 nan nan 0 0 0
29 43 22.578514 18.038422 325.384657 25.137821 nan nan 0 0 0
30 44 22.520221 17.517636 306.867564 24.981080 nan nan 0 0 0
31 45 21.610613 16.858675 284.214914 24.039640 nan nan 0 0 0
32 46 20.724428 17.028039 289.954104 23.294307 nan nan 0 0 0
33 47 20.293294 15.672672 245.632639 22.626988 nan nan 0 0 0
34 48 19.167932 15.549013 241.771799 21.551647 nan nan 0 0 0
35 49 20.490071 15.402941 237.250601 22.677032 nan nan 0 0 0
36 50 19.890543 15.114625 228.451877 22.047745 nan nan 0 0 0
